"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Marion Ceolin A.; Mazzoni J.F.R.","Marion Ceolin, Artur (59349828800); Mazzoni, João Fernando Rossi (58986598100)","59349828800; 58986598100","Beyond Rationality: Exploring Neoclassical, Behavioral, and Austrian Approaches to Finance","2024","Quarterly Journal of Austrian Economics","27","3","","1","21","20","0","10.35297/001c.123502","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205377865&doi=10.35297%2f001c.123502&partnerID=40&md5=f726aa3ebd2a2a18e0048dc70e171e75","Economía Aplicada, Universidad Rey Juan Carlos, Spain; Entrepreneurship and Corporate Innovation, Baylor University, United States","Marion Ceolin A., Economía Aplicada, Universidad Rey Juan Carlos, Spain; Mazzoni J.F.R., Entrepreneurship and Corporate Innovation, Baylor University, United States","This paper compares neoclassical, behavioral, and Austrian perspectives on financial behavior, focusing on market conception, asset pricing, and portfolio organization. Neoclassicals emphasize efficient markets and risk-averse, diversified portfolios. Behavioral finance highlights psychological biases influencing investment decisions but overlooks the role of reflection and external economic factors. On the other hand, the Austrian perspective views markets as dynamic processes driven by rational human actions, where individuals learn and adapt. Austrians critique neoclassical reliance on historical data and the behavioral perspective’s overemphasis on biases, advocating for a subjective approach to asset valuation and portfolio design. The article argues for an Austrian investment theory, emphasizing purposeful actions, learning, and individual judgment under uncertainty, contrasting with the static neoclassical and behavioral finance models. This work contributes to a systematic framework for comparing these schools and offers a new critique of behavioral finance from an Austrian perspective. © 2024, Ludwig Von Mises Institute. All rights reserved.","behavioral finance; economic calculation; investment decisions; rationality","","","","Ludwig Von Mises Institute","10983708","","","","English","Q. J. Austrian Econ.","Article","Final","","Scopus","2-s2.0-85205377865"
"López de Prado M.; Simonian J.; Fabozzi F.A.; Fabozzi F.J.","López de Prado, Marcos (55195922300); Simonian, Joseph (9244965400); Fabozzi, Francesco A. (57558883300); Fabozzi, Frank J. (57046776500)","55195922300; 9244965400; 57558883300; 57046776500","Enhancing Markowitz's portfolio selection paradigm with machine learning","2024","Annals of Operations Research","","","","","","","0","10.1007/s10479-024-06257-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205822747&doi=10.1007%2fs10479-024-06257-1&partnerID=40&md5=48dd3a0e3511d9daa677322718341467","Abu Dhabi Investment Authority (ADIA), Abu Dhabi, United Arab Emirates; Cornell University, New York, NY, United States; Autonomous Investment Technologies, Newton, MA, United States; FDP Institute, New York, NY, United States; Yale’s International Center for Finance, New Haven, CT, United States; Carey Business School, Johns Hopkins University, Baltimore, MD, United States","López de Prado M., Abu Dhabi Investment Authority (ADIA), Abu Dhabi, United Arab Emirates, Cornell University, New York, NY, United States; Simonian J., Autonomous Investment Technologies, Newton, MA, United States, FDP Institute, New York, NY, United States; Fabozzi F.A., Yale’s International Center for Finance, New Haven, CT, United States; Fabozzi F.J., Carey Business School, Johns Hopkins University, Baltimore, MD, United States","In this paper we describe the integration of machine learning (ML) techniques into the framework of Markowitz's portfolio selection and show how they can help advance the robust mathematical strategies necessary for modern financial markets. By combining traditional econometrics with cutting-edge ML methodologies, we show how to enhance portfolio management processes including alpha generation, risk management, and optimization of risk metrics like conditional value at risk. ML's capacity to handle vast and complex datasets allows for more dynamic and informed decision-making in portfolio construction. Moreover, we discuss the practical applications of these techniques in real-world portfolio management, highlighting both the potential enhancements and the challenges faced by portfolio managers in implementing ML strategies. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","C6; Feature selection; G11; Generative Language models; Machine learning; Natural language processing; Portfolio optimization; Signal generation","","F.J. Fabozzi; Carey Business School, Johns Hopkins University, Baltimore, United States; email: ffabozz1@jhu.edu","","Springer","02545330","","","","English","Ann. Oper. Res.","Article","Article in press","","Scopus","2-s2.0-85205822747"
"Dubiel-Teleszynski T.; Kalogeropoulos K.; Karouzakis N.","Dubiel-Teleszynski, Tomasz (36439194000); Kalogeropoulos, Konstantinos (24478745600); Karouzakis, Nikolaos (57193522122)","36439194000; 24478745600; 57193522122","Sequential Learning and Economic Benefits from Dynamic Term Structure Models","2024","Management Science","70","4","","2236","2254","18","0","10.1287/mnsc.2023.4801","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192737902&doi=10.1287%2fmnsc.2023.4801&partnerID=40&md5=af802281f712b9a3a12214cd0a4b96d5","Department of Statistics, London School of Economics, London, WC2A 2AE, United Kingdom; Alba Graduate Business School, The American College of Greece, Athens, 115 28, Greece; University of Sussex Business School, University of Sussex, Brighton, BN1 9RH, United Kingdom","Dubiel-Teleszynski T., Department of Statistics, London School of Economics, London, WC2A 2AE, United Kingdom; Kalogeropoulos K., Department of Statistics, London School of Economics, London, WC2A 2AE, United Kingdom; Karouzakis N., Alba Graduate Business School, The American College of Greece, Athens, 115 28, Greece, University of Sussex Business School, University of Sussex, Brighton, BN1 9RH, United Kingdom","We explore the statistical and economic importance of restrictions on the dynamics of risk compensation from the perspective of a real-time Bayesian learner who predicts bond excess returns using dynamic term structure models (DTSMs). The question on whether potential statistical predictability offered by such models can generate economically significant portfolio benefits out-of-sample is revisited while imposing restrictions on their risk premia parameters. To address this question, we propose a methodological framework that successfully handles sequential model search and parameter estimation over the restriction space in real time, allowing investors to revise their beliefs when new information arrives, thus informing their asset allocation and maximizing their expected utility. Empirical results reinforce the argument of sparsity in the market price of risk specification since we find strong evidence of out-of-sample predictability only for those models that allow for level risk to be priced and, additionally, only one or two of these risk premia parameters to be different than zero. Most importantly, such statistical evidence is turned into economically significant utility gains, across prediction horizons, different time periods and portfolio specifications. In addition to identifying successful DTSMs, the sequential version of the stochastic search variable selection scheme developed can be applied on its own and offer useful diagnostics monitoring key quantities over time. Connections with predictive regressions are also provided. Copyright: © 2023 INFORMS.","Bayesian sequential learning; bond return predictability; dynamic term structure models; economic value; parameter & model uncertainty","Economics; Investments; Learning systems; Stochastic systems; Uncertainty analysis; Bayesian; Bayesian sequential learning; Bond return predictability; Dynamic term structure model; Economic values; Modeling uncertainties; Parameter model; Parameter uncertainty; Returns predictabilities; Sequential learning; Term-structure models; Specifications","K. Kalogeropoulos; Department of Statistics, London School of Economics, London, WC2A 2AE, United Kingdom; email: k.kalogeropoulos@lse.ac.uk","","INFORMS Inst.for Operations Res.and the Management Sciences","00251909","","MSCIA","","English","Manage Sci","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85192737902"
"Li B.; Tu X.","Li, Bin (57205685502); Tu, Xueyong (58900752400)","57205685502; 58900752400","Research on portfolio selection based on machine learning and asset characteristics; [基于机器学习和资产特征的投资组合选择研究]","2024","Xitong Gongcheng Lilun yu Shijian/System Engineering Theory and Practice","44","1","","338","355","17","0","10.12011/SETP2023-1784","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185726367&doi=10.12011%2fSETP2023-1784&partnerID=40&md5=47c24203d0dde26c4e866138d2b81980","Economics and Management School, Wuhan University, Wuhan, 430072, China; Financial Research Center, Wuhan University, Wuhan, 430072, China","Li B., Economics and Management School, Wuhan University, Wuhan, 430072, China, Financial Research Center, Wuhan University, Wuhan, 430072, China; Tu X., Economics and Management School, Wuhan University, Wuhan, 430072, China","With the explosive growth of investable assets and asset information, portfolio selection faces the dual challenges of high dimensionality in both assets and characteristics. This paper proposes a portfolio selection framework based on machine learning and asset characteristics. Leveraging the inherent advantages of machine learning, the framework utilizes asset characteristics to directly predict portfolio weights, bypassing return distribution prediction in the conventional two-step portfolio management paradigm. The framework is applied to asset allocation research in the Chinese stock market. The research results show that: 1) The proposed investment strategies capture incremental information within high-dimensional characteristics and uncover both linear and non-linear relationships between asset characteristics and portfolio weights, resulting in a significant enhancement of investment performance. 2) Trading friction-related characteristics are the most important indicators for predicting portfolio weights. 3) These strategies yield higher returns on stocks with stricter arbitrage restrictions while exhibiting lower sensitivity to changes in macroeconomic conditions. Under other economic constraints, these strategies remain robust. This paper expands the research framework of modern portfolio theory, contributing to the development of artificial intelligence and quantitative investment. © 2024 Systems Engineering Society of China. All rights reserved.","artificial intelligence; asset characteristics; large dimensional asset allocation; portfolio selection; quantitative investment","Commerce; Financial data processing; Financial markets; Forecasting; Machine learning; Asset allocation; Asset characteristic; Explosive growth; High dimensionality; Large dimensional asset allocation; Machine-learning; On-machines; Portfolio selection; Quantitative investment; Selection based; Investments","X. Tu; Economics and Management School, Wuhan University, Wuhan, 430072, China; email: txy12062022@163.com","","Systems Engineering Society of China","10006788","","XGLSE","","Chinese","Xitong Gongcheng Lilum yu Shijian","Article","Final","","Scopus","2-s2.0-85185726367"
"Liu S.; Wang Z.-J.; Wang Y.-G.; Kwong S.; Zhang J.","Liu, Shuai (58615468800); Wang, Zi-Jia (57189054352); Wang, Yuan-Gen (16319945400); Kwong, Sam (7005601503); Zhang, Jun (57834086800)","58615468800; 57189054352; 16319945400; 7005601503; 57834086800","Bi-directional learning particle swarm optimization for large-scale optimization","2023","Applied Soft Computing","149","","110990","","","","6","10.1016/j.asoc.2023.110990","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175796109&doi=10.1016%2fj.asoc.2023.110990&partnerID=40&md5=f4ccb951510448b93d508f909eb95128","School of Computer Science and Cyber Engineering, Guangzhou University, Guangzhou, 510006, China; Department of Computer Science, City University of Hong Kong, Hong Kong; Hanyang University, Ansan, 15588, South Korea","Liu S., School of Computer Science and Cyber Engineering, Guangzhou University, Guangzhou, 510006, China; Wang Z.-J., School of Computer Science and Cyber Engineering, Guangzhou University, Guangzhou, 510006, China; Wang Y.-G., School of Computer Science and Cyber Engineering, Guangzhou University, Guangzhou, 510006, China; Kwong S., Department of Computer Science, City University of Hong Kong, Hong Kong; Zhang J., Hanyang University, Ansan, 15588, South Korea","Large-scale optimization problems (LSOPs) are an essential research topic in the evolutionary computation (EC) community with two challenges: slow convergence in the huge search space and the trap in massive locally optimal solutions. To tackle these two challenges, this paper proposes a bi-directional learning particle swarm optimization (BLPSO) with two learning strategies, called diversity learning strategy (DLS) and convergence learning strategy (CLS). In DLS, we first propose a diversity evaluation mechanism based on locally sensitive hashing (LSH) to measure the diversity of individuals. Then the density individuals will learn from other dispersed individuals with good diversity to enhance the diversity of the population. In CLS, the inferior individuals will learn from other superior individuals with excellent evolution information to help the population accelerate convergence speed. These two learning strategies act in different roles and complement each other. With these two learning strategies, BLPSO achieves a balance between sufficient diversity and fast convergence in solving LSOPs. Two large-scale test suites, IEEE CEC2010 and IEEE CEC2013, are used to test the performance between BLPSO and other state-of-the-art algorithms. The experimental results show that BLPSO outperforms other algorithms on both test suites, including the winner algorithms of the IEEE CEC2010 and IEEE CEC2012 competitions. Finally, BLPSO is applied to a large-scale portfolio optimization problem to illustrate its application capability. © 2023 Elsevier B.V.","Bi-directional learning particle swarm optimization (BLPSO); Large-scale optimization; Locally sensitive hashing (LSH); Particle swarm optimization","Financial data processing; Learning systems; Swarm intelligence; Bi-directional; Bi-directional learning particle swarm optimization; Large-scale optimization; Locally sensitive hashing; Particle swarm; Particle swarm optimization; Sensitive hashing; Swarm optimization; Particle swarm optimization (PSO)","Z.-J. Wang; School of Computer Science and Cyber Engineering, Guangzhou University, Guangzhou, 510006, China; email: zijiawang@gzhu.edu.cn","","Elsevier Ltd","15684946","","","","English","Appl. Soft Comput.","Article","Final","","Scopus","2-s2.0-85175796109"
"Vijaya C.; Hati K.; Thenmozhi M.","Vijaya, C. (59146928300); Hati, Koushik (57151057200); Thenmozhi, M. (56963890600)","59146928300; 57151057200; 56963890600","Developing a Security Risk Assessment based Smart Beta Portfolio Model for Robo Advising","2024","Australasian Accounting, Business and Finance Journal","18","3","","7","25","18","0","10.14453/aabfj.v18i3.02","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194413120&doi=10.14453%2faabfj.v18i3.02&partnerID=40&md5=16f0993128d55b65930681931236931b","Department of Management Studies, Indian Institute of Technology Madras, Chennai, 600036, India","Vijaya C., Department of Management Studies, Indian Institute of Technology Madras, Chennai, 600036, India; Hati K., Department of Management Studies, Indian Institute of Technology Madras, Chennai, 600036, India; Thenmozhi M., Department of Management Studies, Indian Institute of Technology Madras, Chennai, 600036, India","Our study develops a unique Security Risk Assessment based Smart Beta (SB) portfolio construction model for Robo Advising investors belonging to different risk categories. This model will cater to the Gen Z tech-savvy retail investors who have become more active and are interested in online investment platforms like Robo Advising. Our study differs from prior studies as it proposes a portfolio construction model for equity investors belonging to different risk categories while traditional approaches map debt portfolios to low risk investors and equity portfolios to high risk investors. Investors are generally risk-averse but prior studies have developed SB portfolios without considering their risk appetite. In this study, we assess the riskiness of stocks and then categorise them into different risk categories by mapping SB factors such as quality, value, alpha, momentum, etc. We further construct SB portfolios that minimise risk for each category of stocks to cater to investors belonging to low, moderate, high, as well as very high risk categories, using Machine Learning (ML) algorithms. Through a wide range of risk and return performance indicators, we provide evidence that our model offers higher returns at lower risk than human-managed portfolios. Our model proves to be more reliable and encourages Robo Advisors to offer SB portfolios catering to retail investors’ needs and their risk appetite. The study contributes to the evolving literature on Robo Advising, SB investing and to the debate on whether algorithms can replace human portfolio managers. © 2024, University of Wollongong. All rights reserved.","Algorithmic Investments; Portfolio Management; Robo Advising; Smart Beta","","","","University of Wollongong","18342000","","","","English","Australas. Account. Bus. Finance J.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85194413120"
"Ngene G.M.; Wang J.","Ngene, Geoffrey M. (55367918000); Wang, Jinghua (57195685834)","55367918000; 57195685834","Transitory and permanent shock transmissions between real estate investment trusts and other assets: Evidence from time-frequency decomposition and machine learning","2024","Accounting and Finance","64","1","","539","573","34","3","10.1111/acfi.13154","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166408330&doi=10.1111%2facfi.13154&partnerID=40&md5=9a655e7a95aaca8d894d51d46ad419ad","Stetson-Hatcher School of Business, Mercer University, Macon, GA, United States; Martin Tuchman School of Management, New Jersey Institute of Technology, University Heights, Newark, NJ, United States","Ngene G.M., Stetson-Hatcher School of Business, Mercer University, Macon, GA, United States; Wang J., Martin Tuchman School of Management, New Jersey Institute of Technology, University Heights, Newark, NJ, United States","We evaluate asset returns and volatility connectedness using the time-frequency connectedness model and machine learning approaches. Using 48 years of monthly indices of equity real estate investment trusts (EREITs), mortgage real estate investment trusts (MREITs), stocks, commodities, and bonds, we find that shocks to EREIT, and MREIT returns have a transitory impact on other assets. However, asset volatility connectedness among assets occurs at lower frequencies as markets slowly process pricing information. Therefore, shocks to EREIT and MREIT decay gradually and spill over to the other three assets for long periods. We also find that the intensity of the time-frequency connectedness of returns and volatility varies with business cycles and significant domestic and global non-recession events. We attribute the dominance of real estate investment trusts (REITs) in destabilising the financial system through long-term volatility transmission to the heavy linkage of REITs to highly illiquid underlying direct real estate markets and high REITs leverage, making them more sensitive to real estate fundamentals, monetary shocks and macroeconomic risks than stocks and bonds. The result of the algorithm-based (Formula presented.) machine learning model broadly supports the dominance of EREITs in the transmission of returns and volatility and shows that commodities have more explanatory power in the transmission of volatility than in returns. The empirical findings have implications for strategic and tactical asset allocation and policy design for market stability. © 2023 Accounting and Finance Association of Australia and New Zealand.","connectedness; GA <sup>2</sup> M; machine learning; REITs; spillover; time-frequency","","J. Wang; Martin Tuchman School of Management, New Jersey Institute of Technology, University Heights, Newark, 07102, United States; email: jinghua.wang@njit.edu","","John Wiley and Sons Inc","08105391","","","","English","Account. Financ.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85166408330"
"Aretz K.; Kagkadis A.","Aretz, Kevin (25721831000); Kagkadis, Anastasios (57203637595)","25721831000; 57203637595","Construction, Real Uncertainty, and Stock-Level Investment Anomalies","2024","Journal of Financial and Quantitative Analysis","","","","","","","0","10.1017/S0022109024000024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183758191&doi=10.1017%2fS0022109024000024&partnerID=40&md5=a349f7ab318d3c0fa6f2754ac61a204d","Alliance Manchester Business School, United Kingdom; University of Liverpool Management School, United Kingdom; Accounting and Finance Group, Chatham Street, Liverpool, L69 7ZH, United Kingdom","Aretz K., Alliance Manchester Business School, United Kingdom; Kagkadis A., University of Liverpool Management School, United Kingdom, Accounting and Finance Group, Chatham Street, Liverpool, L69 7ZH, United Kingdom","We show that the negative relation between real investments and future stock returns is primarily driven by the subsample of firms building additional capacity. We develop a real options model to rationalize that evidence based on the premise that firms need to learn how to best operate modern capacity vintages, inducing idiosyncratic uncertainty in that capacity’s production costs over the learning period. Conversely, the uncertainty lowers the expected return of firms with newly-built capacity until it is resolved. Further evidence based on profit sensitivities to aggregate conditions; analyst forecast-error volatilities; and high-vs.-low tech industry subsamples supports our uncertainty explanation. © 2024 Cambridge University Press. All rights reserved.","Asset pricing; investment anomalies; newly-built capacity; real options; uncertainty","","K. Aretz; Accounting and Finance Division, Manchester, Booth Street West, M15 6PB, United Kingdom; email: kevin.aretz@manchester.ac.uk","","Cambridge University Press","00221090","","","","English","J. Financ. Quant. Anal.","Article","Article in press","","Scopus","2-s2.0-85183758191"
"Lai Z.-R.; Li C.; Wu X.; Guan Q.; Fang L.","Lai, Zhao-Rong (55376858100); Li, Cheng (57791410200); Wu, Xiaotian (57208590861); Guan, Quanlong (25639744800); Fang, Liangda (56023761500)","55376858100; 57791410200; 57208590861; 25639744800; 56023761500","Multitrend Conditional Value at Risk for Portfolio Optimization","2024","IEEE Transactions on Neural Networks and Learning Systems","35","2","","1545","1558","13","8","10.1109/TNNLS.2022.3183891","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133814481&doi=10.1109%2fTNNLS.2022.3183891&partnerID=40&md5=fa8aa18b0501c25c8c8cdd12e541977e","Jinan University, College of Information Science and Technology, Department of Mathematics, Guangzhou, 510632, China; Jinan University, College of Information Science and Technology, Department of Computer Science, Guangzhou, 510632, China; Pazhou Laboratory, Guangzhou, 510330, China; Guilin University of Electronic Technology, Guangxi Key Laboratory of Trusted Software, Guilin, 541004, China","Lai Z.-R., Jinan University, College of Information Science and Technology, Department of Mathematics, Guangzhou, 510632, China; Li C., Jinan University, College of Information Science and Technology, Department of Mathematics, Guangzhou, 510632, China; Wu X., Jinan University, College of Information Science and Technology, Department of Computer Science, Guangzhou, 510632, China; Guan Q., Jinan University, College of Information Science and Technology, Department of Computer Science, Guangzhou, 510632, China; Fang L., Jinan University, College of Information Science and Technology, Department of Computer Science, Guangzhou, 510632, China, Pazhou Laboratory, Guangzhou, 510330, China, Guilin University of Electronic Technology, Guangxi Key Laboratory of Trusted Software, Guilin, 541004, China","Trend representation has been attracting more and more attention recently in portfolio optimization (PO) via machine learning methods. It adopts concepts and phenomena from the field of empirical and behavioral finance when little prior knowledge is obtained or strict statistical assumptions cannot be guaranteed. It is used mostly in estimating the expected asset returns, but hardly in measuring risk. To fill this gap, we propose a novel multitrend conditional value at risk (MT-CVaR), which embeds multiple trends and their influences in CVaR. Besides, we propose a novel PO model with this MT-CVaR as the risk metric and then design a solving algorithm based on the interior point method to compute the portfolio. Extensive experiments on six benchmark datasets from diverse financial markets with different frequencies show that MT-CVaR achieves the state-of-the-art investing performance and risk management.  © 2012 IEEE.","Conditional value at risk (CVaR); interior point method; multiple trends; portfolio optimization (PO)","Benchmarking; Commerce; Data mining; Learning systems; Market Research; Risk assessment; Risk management; Risk perception; Value engineering; Conditional value at risk; Conditional Value-at-Risk; Interior-point method; Market researches; Multiple trend; Optimisations; Portfolio; Portfolio optimization; Task analysis; algorithm; article; attention; finance; financial market; machine learning; risk assessment; risk management; Optimization","C. Li; Jinan University, College of Information Science and Technology, Department of Mathematics, Guangzhou, 510632, China; email: licheng@stu2020.jnu.edu.cn","","Institute of Electrical and Electronics Engineers Inc.","2162237X","","","35737603","English","IEEE Trans. Neural Networks Learn. Sys.","Article","Final","","Scopus","2-s2.0-85133814481"
"Harsha A.M.; Kesava Rao V.V.S.","Harsha, Achuta Mukund (58870101900); Kesava Rao, V.V.S. (55010827200)","58870101900; 55010827200","A Comprehensive Analysis of Clustering Methods for Portfolio Optimization","2024","International Journal of Intelligent Systems and Applications in Engineering","12","10s","","27","36","9","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185137086&partnerID=40&md5=6e186f515fa1939ba56aa23d8949d9d7","Department of Mechanical Engineering, Andhra University, Visakhapatnam, India; Faculty of Industrial Engineering, Department of Mechanical Engineering, Andhra University, Visakhapatnam, India","Harsha A.M., Department of Mechanical Engineering, Andhra University, Visakhapatnam, India; Kesava Rao V.V.S., Faculty of Industrial Engineering, Department of Mechanical Engineering, Andhra University, Visakhapatnam, India","This paper presents a comprehensive exploratory analysis of financial performance of Indian companies, employing diverse clustering techniques and visualization methods. Core financial metrics, including Net Profit Margin (%), Earnings Per Share (EPS) Growth Rate (%), and Book Value (BV) Growth Rate (%), are examined over a decade. The study investigates optimal cluster numbers through Silhouette analysis and the Elbow Curve method, harnessing the power of unsupervised Machine Learning (ML). Employing K-Means and hierarchical clustering with various linkage strategies (single, complete, average, centroid, and ward), the research unveils insightful clustering structures through dendrogram visualizations. This analysis involves 50 undervalued companies, scrutinizing their financial dynamics and clustering profiles. The ensuing impact of indicators on trading activities and returns over both short and long time horizons (365 days and 10 years, respectively) is meticulously dissected. In particular, this study contrasts trade counts, total returns, and average return per trade vis-à-vis a benchmark of Nifty50 companies. The research findings substantiate that a majority of the clusters yield higher returns compared to Nifty50 counterparts for identical technical indicator combinations. The application of advanced ML methodologies in this research provides actionable insights from complex financial data, catering to the needs of both researchers and practitioners. Ultimately, this work enriches financial analysis and offers valuable inputs for refining trading strategies. © 2024, Ismail Saritas. All rights reserved.","Clustering Techniques; Fundamental Analysis; Indian Financial Markets; Machine Learning; Portfolio Optimization","","A.M. Harsha; Department of Mechanical Engineering, Andhra University, Visakhapatnam, India; email: mukundharsha.rs@andhrauniversity.edu.in","","Ismail Saritas","21476799","","","","English","Internat. J. Intel. Syst. Appl. Eng.","Article","Final","","Scopus","2-s2.0-85185137086"
"Yi Y.; Cui K.; Xu M.; Yi L.; Yi K.; Zhou X.; Liu S.; Zhou G.","Yi, Yuanyuan (58842338800); Cui, Kai (58127519600); Xu, Minghua (55703582500); Yi, Lingzhi (59284770800); Yi, Kun (58842417400); Zhou, Xinlei (58842383900); Liu, Shenghao (57195626904); Zhou, Gefei (59001749100)","58842338800; 58127519600; 55703582500; 59284770800; 58842417400; 58842383900; 57195626904; 59001749100","A long-short dual-mode knowledge distillation framework for empirical asset pricing models in digital financial networks","2024","Connection Science","36","1","2306970","","","","0","10.1080/09540091.2024.2306970","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183078981&doi=10.1080%2f09540091.2024.2306970&partnerID=40&md5=36dabaf9ee743404ac6fa82faf8435fc","School of Journalism and Information Communication, Huazhong University of Science and Technology, Wuhan, China; School of Cyber Science and Engineering, Huazhong University of Science and Technology, Wuhan, China; School of Information and Safety Engineering, Zhongnan University of Economics and Law, Wuhan, China; Imperial College Business School, Imperial College London, London, United Kingdom; Wuhan Research Institute of Post and Telecommunication, Wuhan, China; School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China","Yi Y., School of Journalism and Information Communication, Huazhong University of Science and Technology, Wuhan, China; Cui K., School of Cyber Science and Engineering, Huazhong University of Science and Technology, Wuhan, China; Xu M., School of Journalism and Information Communication, Huazhong University of Science and Technology, Wuhan, China; Yi L., School of Information and Safety Engineering, Zhongnan University of Economics and Law, Wuhan, China; Yi K., Imperial College Business School, Imperial College London, London, United Kingdom; Zhou X., Wuhan Research Institute of Post and Telecommunication, Wuhan, China; Liu S., School of Cyber Science and Engineering, Huazhong University of Science and Technology, Wuhan, China; Zhou G., School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China","The continuous combination of digital network technology and traditional financial services has given birth to digital financial networks, which explore massive economic data under the AI-driven models to achieve intelligent connections among financial institutions, markets, transactions, and instruments. Empirical asset pricing is a challenging task in financial analysis, which has attracted research attention. However, existing studies only focus on tackling the challenges of equity risk premium in the single stock market. Considering multiple economic linkages between the two countries, the transaction history of the US stock market as empirical knowledge is a powerful supplement to improve the prediction of equity risk premium in the China market. In this paper, we aim to fully leverage the prior information in two stock markets for empirical asset pricing models. Due to the rich financial domain knowledge, there may be various characteristic signals that partially overlap in different periods. To address these issues, we propose a framework based on long-short dual-mode knowledge distillation, termed as LSDM-KD, which incorporates US and China stock market models, and a shared characteristic signals model. The method effectively understands the relationships between assets and market behaviour, reducing reliance on expensive correlation databases and professional knowledge. Extensive experiments conducted on US and China stock market datasets demonstrate that our LSDM-KD can significantly improve the performance of empirical asset pricing. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","empirical asset pricing; Financial networks; knowledge distillation; representation learning","Commerce; Costs; Distillation; Domain Knowledge; E-learning; Asset pricing; Asset pricing model; Characteristic signal; China's Stock Markets; Dual modes; Empirical asset pricing; Equity risk premiums; Financial networks; Knowledge distillation; Representation learning; Financial markets","M. Xu; School of Journalism and Information Communication, Huazhong University of Science and Technology, Wuhan, 430074, China; email: xuminghua@hust.edu.cn","","Taylor and Francis Ltd.","09540091","","","","English","Connect. Sci.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85183078981"
